"Ix","Iz"
1e-09,-7.19e-07
1e-09,-7.19e-07
1.05e-09,-7.21e-07
1.05e-09,-7.2e-07
1.05e-09,-7.21e-07
1.1e-09,-7.22e-07
1.1e-09,-7.23e-07
1.1e-09,-7.22e-07
1.15e-09,-7.22e-07
1.15e-09,-7.23e-07
1.2e-09,-7.23e-07
1.2e-09,-7.23e-07
1.2e-09,-7.23e-07
1.25e-09,-7.23e-07
1.25e-09,-7.23e-07
1.25e-09,-7.23e-07
1.3e-09,-7.24e-07
1.3e-09,-7.24e-07
1.35e-09,-7.24e-07
1.35e-09,-7.25e-07
1.4e-09,-7.25e-07
1.4e-09,-7.24e-07
1.45e-09,-7.25e-07
1.45e-09,-7.25e-07
1.45e-09,-7.25e-07
1.5e-09,-7.25e-07
1.5e-09,-7.25e-07
1.55e-09,-7.25e-07
1.55e-09,-7.25e-07
1.6e-09,-7.25e-07
1.6e-09,-7.25e-07
1.65e-09,-7.25e-07
1.7e-09,-7.26e-07
1.7e-09,-7.26e-07
1.75e-09,-7.26e-07
1.75e-09,-7.27e-07
1.8e-09,-7.27e-07
1.8e-09,-7.27e-07
1.85e-09,-7.27e-07
1.9e-09,-7.28e-07
1.9e-09,-7.28e-07
1.95e-09,-7.29e-07
1.95e-09,-7.28e-07
2e-09,-7.29e-07
2.05e-09,-7.29e-07
2.05e-09,-7.29e-07
2.1e-09,-7.29e-07
2.15e-09,-7.3e-07
2.15e-09,-7.29e-07
2.2e-09,-7.29e-07
2.25e-09,-7.28e-07
2.3e-09,-7.28e-07
2.3e-09,-7.28e-07
2.35e-09,-7.28e-07
2.4e-09,-7.28e-07
2.45e-09,-7.29e-07
2.45e-09,-7.28e-07
2.5e-09,-7.27e-07
2.55e-09,-7.28e-07
2.6e-09,-7.28e-07
2.65e-09,-7.29e-07
2.7e-09,-7.29e-07
2.7e-09,-7.29e-07
2.75e-09,-7.28e-07
2.8e-09,-7.28e-07
2.85e-09,-7.29e-07
2.9e-09,-7.3e-07
2.95e-09,-7.3e-07
3e-09,-7.3e-07
3.05e-09,-7.3e-07
3.1e-09,-7.3e-07
3.15e-09,-7.31e-07
3.2e-09,-7.3e-07
3.25e-09,-7.29e-07
3.3e-09,-7.29e-07
3.35e-09,-7.29e-07
3.4e-09,-7.29e-07
3.45e-09,-7.29e-07
3.5e-09,-7.29e-07
3.6e-09,-7.31e-07
3.65e-09,-7.31e-07
3.7e-09,-7.33e-07
3.75e-09,-7.33e-07
3.8e-09,-7.33e-07
3.9e-09,-7.35e-07
3.95e-09,-7.34e-07
4e-09,-7.32e-07
4.05e-09,-7.31e-07
4.15e-09,-7.3e-07
4.2e-09,-7.3e-07
4.25e-09,-7.3e-07
4.35e-09,-7.31e-07
4.4e-09,-7.3e-07
4.5e-09,-7.4e-07
4.55e-09,-7.38e-07
4.65e-09,-7.36e-07
4.7e-09,-7.37e-07
4.8e-09,-7.39e-07
4.85e-09,-7.38e-07
4.95e-09,-7.39e-07
5e-09,-7.38e-07
5.1e-09,-7.38e-07
5.2e-09,-7.4e-07
5.25e-09,-7.39e-07
5.35e-09,-7.39e-07
5.45e-09,-7.4e-07
5.55e-09,-7.4e-07
5.6e-09,-7.41e-07
5.7e-09,-7.41e-07
5.8e-09,-7.41e-07
5.9e-09,-7.41e-07
6e-09,-7.42e-07
6.1e-09,-7.42e-07
6.2e-09,-7.42e-07
6.3e-09,-7.43e-07
6.4e-09,-7.44e-07
6.5e-09,-7.44e-07
6.6e-09,-7.45e-07
6.7e-09,-7.46e-07
6.8e-09,-7.46e-07
6.95e-09,-7.47e-07
7.05e-09,-7.47e-07
7.15e-09,-7.48e-07
7.3e-09,-7.49e-07
7.4e-09,-7.5e-07
7.5e-09,-7.5e-07
7.65e-09,-7.51e-07
7.75e-09,-7.52e-07
7.9e-09,-7.53e-07
8e-09,-7.54e-07
8.15e-09,-7.56e-07
8.3e-09,-7.57e-07
8.4e-09,-7.58e-07
8.55e-09,-7.59e-07
8.7e-09,-7.6e-07
8.85e-09,-7.62e-07
8.95e-09,-7.63e-07
9.1e-09,-7.63e-07
9.25e-09,-7.64e-07
9.4e-09,-7.65e-07
9.55e-09,-7.67e-07
9.75e-09,-7.68e-07
9.9e-09,-7.69e-07
1.005e-08,-7.7e-07
1.02e-08,-7.71e-07
1.04e-08,-7.73e-07
1.055e-08,-7.73e-07
1.07e-08,-7.74e-07
1.09e-08,-7.75e-07
1.105e-08,-7.76e-07
1.125e-08,-7.77e-07
1.145e-08,-7.79e-07
1.16e-08,-7.8e-07
1.18e-08,-7.81e-07
1.2e-08,-7.82e-07
1.22e-08,-7.83e-07
1.24e-08,-7.84e-07
1.26e-08,-7.85e-07
1.28e-08,-7.86e-07
1.3e-08,-7.87e-07
1.32e-08,-7.89e-07
1.345e-08,-7.9e-07
1.365e-08,-7.91e-07
1.385e-08,-7.92e-07
1.41e-08,-7.93e-07
1.435e-08,-7.93e-07
