"Ix","Iz"
1e-09,-3.55e-07
1e-09,-3.56e-07
1.05e-09,-3.57e-07
1.05e-09,-3.56e-07
1.05e-09,-3.55e-07
1.05e-09,-3.55e-07
1.1e-09,-3.59e-07
1.1e-09,-3.57e-07
1.1e-09,-3.58e-07
1.15e-09,-3.59e-07
1.15e-09,-3.57e-07
1.15e-09,-3.57e-07
1.2e-09,-3.57e-07
1.2e-09,-3.57e-07
1.2e-09,-3.57e-07
1.25e-09,-3.59e-07
1.25e-09,-3.58e-07
1.25e-09,-3.58e-07
1.3e-09,-3.58e-07
1.3e-09,-3.58e-07
1.3e-09,-3.58e-07
1.35e-09,-3.58e-07
1.35e-09,-3.58e-07
1.35e-09,-3.58e-07
1.4e-09,-3.58e-07
1.4e-09,-3.57e-07
1.45e-09,-3.58e-07
1.45e-09,-3.57e-07
1.45e-09,-3.58e-07
1.5e-09,-3.58e-07
1.5e-09,-3.58e-07
1.55e-09,-3.58e-07
1.55e-09,-3.58e-07
1.6e-09,-3.58e-07
1.6e-09,-3.58e-07
1.6e-09,-3.58e-07
1.65e-09,-3.58e-07
1.65e-09,-3.59e-07
1.7e-09,-3.58e-07
1.7e-09,-3.59e-07
1.75e-09,-3.59e-07
1.75e-09,-3.58e-07
1.8e-09,-3.59e-07
1.8e-09,-3.59e-07
1.85e-09,-3.59e-07
1.85e-09,-3.59e-07
1.9e-09,-3.59e-07
1.9e-09,-3.6e-07
1.95e-09,-3.6e-07
1.95e-09,-3.6e-07
2e-09,-3.6e-07
2e-09,-3.6e-07
2.05e-09,-3.6e-07
2.1e-09,-3.6e-07
2.1e-09,-3.6e-07
2.15e-09,-3.6e-07
2.15e-09,-3.6e-07
2.2e-09,-3.61e-07
2.25e-09,-3.6e-07
2.25e-09,-3.61e-07
2.3e-09,-3.61e-07
2.3e-09,-3.61e-07
2.35e-09,-3.61e-07
2.4e-09,-3.61e-07
2.4e-09,-3.61e-07
2.45e-09,-3.61e-07
2.5e-09,-3.62e-07
2.55e-09,-3.62e-07
2.55e-09,-3.62e-07
2.6e-09,-3.62e-07
2.65e-09,-3.62e-07
2.65e-09,-3.62e-07
2.7e-09,-3.62e-07
2.75e-09,-3.63e-07
2.8e-09,-3.63e-07
2.8e-09,-3.63e-07
2.85e-09,-3.63e-07
2.9e-09,-3.63e-07
2.95e-09,-3.63e-07
3e-09,-3.63e-07
3e-09,-3.63e-07
3.05e-09,-3.64e-07
3.1e-09,-3.64e-07
3.15e-09,-3.64e-07
3.2e-09,-3.64e-07
3.25e-09,-3.64e-07
3.3e-09,-3.64e-07
3.35e-09,-3.64e-07
3.4e-09,-3.65e-07
3.4e-09,-3.65e-07
3.45e-09,-3.65e-07
3.5e-09,-3.65e-07
3.55e-09,-3.65e-07
3.6e-09,-3.65e-07
3.65e-09,-3.66e-07
3.7e-09,-3.66e-07
3.75e-09,-3.66e-07
3.8e-09,-3.66e-07
3.9e-09,-3.66e-07
3.95e-09,-3.66e-07
4e-09,-3.66e-07
4.05e-09,-3.67e-07
4.1e-09,-3.67e-07
4.15e-09,-3.67e-07
4.2e-09,-3.67e-07
4.25e-09,-3.67e-07
4.35e-09,-3.68e-07
4.4e-09,-3.68e-07
4.45e-09,-3.68e-07
4.5e-09,-3.68e-07
4.6e-09,-3.69e-07
4.65e-09,-3.69e-07
4.7e-09,-3.69e-07
4.75e-09,-3.69e-07
4.85e-09,-3.7e-07
4.9e-09,-3.7e-07
4.95e-09,-3.7e-07
5.05e-09,-3.7e-07
5.1e-09,-3.69e-07
5.2e-09,-3.71e-07
5.25e-09,-3.71e-07
5.35e-09,-3.72e-07
5.4e-09,-3.72e-07
5.5e-09,-3.72e-07
5.55e-09,-3.72e-07
5.65e-09,-3.72e-07
5.7e-09,-3.73e-07
5.8e-09,-3.73e-07
5.85e-09,-3.74e-07
5.95e-09,-3.74e-07
6.05e-09,-3.74e-07
6.1e-09,-3.74e-07
6.2e-09,-3.75e-07
6.3e-09,-3.75e-07
6.4e-09,-3.75e-07
6.45e-09,-3.76e-07
6.55e-09,-3.76e-07
6.65e-09,-3.76e-07
6.75e-09,-3.77e-07
6.85e-09,-3.77e-07
6.95e-09,-3.77e-07
7.05e-09,-3.78e-07
7.15e-09,-3.78e-07
7.25e-09,-3.79e-07
7.35e-09,-3.79e-07
7.45e-09,-3.79e-07
7.55e-09,-3.79e-07
7.65e-09,-3.8e-07
7.75e-09,-3.8e-07
7.85e-09,-3.81e-07
7.95e-09,-3.81e-07
8.05e-09,-3.81e-07
8.2e-09,-3.82e-07
8.3e-09,-3.82e-07
8.4e-09,-3.83e-07
8.55e-09,-3.84e-07
8.65e-09,-3.84e-07
8.75e-09,-3.84e-07
8.9e-09,-3.85e-07
9e-09,-3.85e-07
9.15e-09,-3.86e-07
9.25e-09,-3.86e-07
9.4e-09,-3.87e-07
9.55e-09,-3.88e-07
9.65e-09,-3.88e-07
9.8e-09,-3.89e-07
9.95e-09,-3.89e-07
1.005e-08,-3.89e-07
1.02e-08,-3.89e-07
1.035e-08,-3.9e-07
1.05e-08,-3.91e-07
1.065e-08,-3.91e-07
1.08e-08,-3.92e-07
1.095e-08,-3.92e-07
1.11e-08,-3.93e-07
1.125e-08,-3.93e-07
1.14e-08,-3.94e-07
1.155e-08,-3.95e-07
1.17e-08,-3.95e-07
1.19e-08,-3.96e-07
1.205e-08,-3.96e-07
1.22e-08,-3.97e-07
1.24e-08,-3.98e-07
1.255e-08,-3.98e-07
1.275e-08,-3.98e-07
1.29e-08,-4e-07
1.31e-08,-4e-07
1.33e-08,-4.01e-07
1.345e-08,-4.02e-07
1.365e-08,-4.02e-07
1.385e-08,-4.02e-07
1.405e-08,-4.03e-07
1.425e-08,-4.04e-07
1.445e-08,-4.05e-07
1.465e-08,-4.05e-07
1.485e-08,-4.06e-07
1.505e-08,-4.06e-07
1.525e-08,-4.07e-07
1.545e-08,-4.08e-07
1.565e-08,-4.09e-07
1.59e-08,-4.09e-07
1.61e-08,-4.1e-07
1.635e-08,-4.11e-07
1.655e-08,-4.12e-07
1.68e-08,-4.12e-07
1.705e-08,-4.13e-07
1.725e-08,-4.14e-07
1.75e-08,-4.15e-07
1.775e-08,-4.16e-07
1.8e-08,-4.17e-07
1.825e-08,-4.17e-07
1.85e-08,-4.18e-07
1.875e-08,-4.19e-07
1.9e-08,-4.2e-07
1.93e-08,-4.21e-07
1.955e-08,-4.21e-07
1.985e-08,-4.23e-07
2.01e-08,-4.24e-07
2.04e-08,-4.25e-07
2.065e-08,-4.26e-07
2.095e-08,-4.26e-07
2.125e-08,-4.27e-07
2.155e-08,-4.28e-07
2.185e-08,-4.3e-07
2.215e-08,-4.31e-07
2.245e-08,-4.31e-07
2.275e-08,-4.32e-07
2.31e-08,-4.34e-07
2.34e-08,-4.34e-07
2.375e-08,-4.36e-07
2.405e-08,-4.36e-07
2.44e-08,-4.38e-07
2.475e-08,-4.39e-07
2.51e-08,-4.4e-07
2.545e-08,-4.41e-07
2.58e-08,-4.42e-07
2.615e-08,-4.43e-07
2.65e-08,-4.44e-07
2.69e-08,-4.45e-07
2.725e-08,-4.47e-07
2.765e-08,-4.48e-07
2.8e-08,-4.49e-07
2.84e-08,-4.5e-07
2.88e-08,-4.51e-07
2.92e-08,-4.53e-07
2.96e-08,-4.54e-07
3e-08,-4.55e-07
3.045e-08,-4.57e-07
3.085e-08,-4.58e-07
3.13e-08,-4.59e-07
3.175e-08,-4.61e-07
3.215e-08,-4.62e-07
3.26e-08,-4.63e-07
3.31e-08,-4.65e-07
3.355e-08,-4.66e-07
3.4e-08,-4.67e-07
3.45e-08,-4.69e-07
3.495e-08,-4.7e-07
3.545e-08,-4.72e-07
3.595e-08,-4.73e-07
3.645e-08,-4.75e-07
3.695e-08,-4.76e-07
3.745e-08,-4.78e-07
3.8e-08,-4.79e-07
3.85e-08,-4.81e-07
3.905e-08,-4.83e-07
3.96e-08,-4.85e-07
4.015e-08,-4.86e-07
4.07e-08,-4.87e-07
4.125e-08,-4.89e-07
4.185e-08,-4.91e-07
4.245e-08,-4.92e-07
4.3e-08,-4.94e-07
4.36e-08,-4.96e-07
4.42e-08,-4.98e-07
4.485e-08,-4.99e-07
4.545e-08,-5.01e-07
4.61e-08,-5.03e-07
4.675e-08,-5.05e-07
4.74e-08,-5.07e-07
4.805e-08,-5.08e-07
4.87e-08,-5.1e-07
4.94e-08,-5.12e-07
5.01e-08,-5.14e-07
5.08e-08,-5.16e-07
5.15e-08,-5.18e-07
5.22e-08,-5.2e-07
5.295e-08,-5.22e-07
5.365e-08,-5.24e-07
