"Iy","Iz"
-1e-09,-0.000434
-1e-09,-0.000433
-1.05e-09,-0.000432
-1.05e-09,-0.000431
-1.05e-09,-0.000431
-1.1e-09,-0.00043
-1.1e-09,-0.00043
-1.1e-09,-0.00043
-1.15e-09,-0.00043
-1.15e-09,-0.000429
-1.2e-09,-0.000429
-1.2e-09,-0.000429
-1.2e-09,-0.000429
-1.25e-09,-0.000429
-1.25e-09,-0.000428
-1.25e-09,-0.000428
-1.3e-09,-0.000428
-1.3e-09,-0.000428
-1.35e-09,-0.000428
-1.35e-09,-0.000428
-1.4e-09,-0.000428
-1.4e-09,-0.000428
-1.45e-09,-0.000428
-1.45e-09,-0.000428
-1.45e-09,-0.000428
-1.5e-09,-0.000428
-1.5e-09,-0.000427
-1.55e-09,-0.000427
-1.55e-09,-0.000427
-1.6e-09,-0.000427
-1.6e-09,-0.000427
-1.65e-09,-0.000427
-1.7e-09,-0.000427
-1.7e-09,-0.000427
-1.75e-09,-0.000427
-1.75e-09,-0.000427
-1.8e-09,-0.000427
-1.8e-09,-0.000427
-1.85e-09,-0.000427
-1.9e-09,-0.000427
-1.9e-09,-0.000427
-1.95e-09,-0.000427
-1.95e-09,-0.000427
-2e-09,-0.000427
-2.05e-09,-0.000427
-2.05e-09,-0.000427
-2.1e-09,-0.000426
-2.15e-09,-0.000426
-2.15e-09,-0.000426
-2.2e-09,-0.000426
-2.25e-09,-0.000426
-2.3e-09,-0.000426
-2.3e-09,-0.000426
-2.35e-09,-0.000426
-2.4e-09,-0.000426
-2.45e-09,-0.000426
-2.45e-09,-0.000426
-2.5e-09,-0.000426
-2.55e-09,-0.000426
-2.6e-09,-0.000426
-2.65e-09,-0.000426
-2.7e-09,-0.000426
-2.7e-09,-0.000426
-2.75e-09,-0.000426
-2.8e-09,-0.000426
-2.85e-09,-0.000425
-2.9e-09,-0.000426
-2.95e-09,-0.000425
-3e-09,-0.000425
-3.05e-09,-0.000425
-3.1e-09,-0.000425
-3.15e-09,-0.000425
-3.2e-09,-0.000425
-3.25e-09,-0.000425
-3.3e-09,-0.000425
-3.35e-09,-0.000425
-3.4e-09,-0.000425
-3.45e-09,-0.000425
-3.5e-09,-0.000425
-3.6e-09,-0.000425
-3.65e-09,-0.000425
-3.7e-09,-0.000425
-3.75e-09,-0.000425
-3.8e-09,-0.000425
-3.9e-09,-0.000424
-3.95e-09,-0.000424
-4e-09,-0.000424
-4.05e-09,-0.000424
-4.15e-09,-0.000424
-4.2e-09,-0.000424
-4.25e-09,-0.000424
-4.35e-09,-0.000424
-4.4e-09,-0.000424
-4.5e-09,-0.000424
-4.55e-09,-0.000424
-4.65e-09,-0.000424
-4.7e-09,-0.000424
-4.8e-09,-0.000424
-4.85e-09,-0.000424
-4.95e-09,-0.000424
-5e-09,-0.000424
-5.1e-09,-0.000424
-5.2e-09,-0.000423
-5.25e-09,-0.000423
-5.35e-09,-0.000423
-5.45e-09,-0.000423
-5.55e-09,-0.000423
